Ticker;Maturity;AdjstdQt;Data_Referencia
DI1V24;01/10/2024;100000.0;01/10/2024
DI1X24;01/11/2024;99080.09;01/10/2024
DI1Z24;02/12/2024;98302.44;01/10/2024
DI1F25;02/01/2025;97422.11;01/10/2024
DI1G25;03/02/2025;96486.94;01/10/2024
DI1H25;05/03/2025;95608.61;01/10/2024
DI1J25;01/04/2025;94770.38;01/10/2024
DI1K25;02/05/2025;93884.6;01/10/2024
DI1M25;02/06/2025;92958.1;01/10/2024
DI1N25;01/07/2025;92076.08;01/10/2024
DI1Q25;01/08/2025;91074.75;01/10/2024
DI1U25;01/09/2025;90170.14;01/10/2024
DI1V25;01/10/2025;89229.07;01/10/2024
DI1F26;02/01/2026;86542.29;01/10/2024
DI1J26;01/04/2026;84056.36;01/10/2024
DI1N26;01/07/2026;81698.24;01/10/2024
DI1V26;01/10/2026;79291.1;01/10/2024
DI1F27;04/01/2027;77106.24;01/10/2024
DI1J27;01/04/2027;74994.58;01/10/2024
DI1N27;01/07/2027;72827.73;01/10/2024
DI1V27;01/10/2027;70626.58;01/10/2024
DI1F28;03/01/2028;68594.65;01/10/2024
DI1J28;03/04/2028;66585.48;01/10/2024
DI1N28;03/07/2028;64672.53;01/10/2024
DI1V28;02/10/2028;62759.66;01/10/2024
DI1F29;02/01/2029;61064.61;01/10/2024
DI1J29;02/04/2029;59353.39;01/10/2024
DI1N29;02/07/2029;57635.83;01/10/2024
DI1V29;01/10/2029;55926.43;01/10/2024
DI1F30;02/01/2030;54341.26;01/10/2024
DI1F31;02/01/2031;48401.03;01/10/2024
DI1F32;02/01/2032;43107.23;01/10/2024
DI1F33;03/01/2033;38429.3;01/10/2024
DI1F34;02/01/2034;34375.1;01/10/2024
DI1F35;02/01/2035;30723.87;01/10/2024
DI1F36;02/01/2036;27455.25;01/10/2024
DI1F37;02/01/2037;24444.97;01/10/2024
DI1F38;04/01/2038;21804.74;01/10/2024
DI1F39;03/01/2039;19431.82;01/10/2024
DI1X24;01/11/2024;99119.68;02/10/2024
DI1Z24;02/12/2024;98342.95;02/10/2024
DI1F25;02/01/2025;97463.8;02/10/2024
DI1G25;03/02/2025;96528.13;02/10/2024
DI1H25;05/03/2025;95654.82;02/10/2024
DI1J25;01/04/2025;94819.74;02/10/2024
DI1K25;02/05/2025;93935.78;02/10/2024
DI1M25;02/06/2025;93012.78;02/10/2024
DI1N25;01/07/2025;92126.79;02/10/2024
DI1Q25;01/08/2025;91128.4;02/10/2024
DI1U25;01/09/2025;90226.92;02/10/2024
DI1V25;01/10/2025;89286.97;02/10/2024
DI1F26;02/01/2026;86610.85;02/10/2024
DI1J26;01/04/2026;84140.89;02/10/2024
DI1N26;01/07/2026;81778.85;02/10/2024
DI1V26;01/10/2026;79381.12;02/10/2024
DI1F27;04/01/2027;77213.96;02/10/2024
DI1J27;01/04/2027;75115.12;02/10/2024
DI1N27;01/07/2027;72953.25;02/10/2024
DI1V27;01/10/2027;70753.04;02/10/2024
DI1F28;03/01/2028;68729.07;02/10/2024
DI1J28;03/04/2028;66719.58;02/10/2024
DI1N28;03/07/2028;64809.8;02/10/2024
DI1V28;02/10/2028;62893.31;02/10/2024
DI1F29;02/01/2029;61200.73;02/10/2024
DI1J29;02/04/2029;59496.43;02/10/2024
DI1N29;02/07/2029;57776.2;02/10/2024
DI1V29;01/10/2029;56071.07;02/10/2024
DI1F30;02/01/2030;54477.35;02/10/2024
DI1F31;02/01/2031;48576.07;02/10/2024
DI1F32;02/01/2032;43290.62;02/10/2024
DI1F33;03/01/2033;38624.35;02/10/2024
DI1F34;02/01/2034;34588.74;02/10/2024
DI1F35;02/01/2035;30908.56;02/10/2024
DI1F36;02/01/2036;27635.13;02/10/2024
DI1F37;02/01/2037;24618.55;02/10/2024
DI1F38;04/01/2038;21971.37;02/10/2024
DI1F39;03/01/2039;19590.93;02/10/2024
DI1X24;01/11/2024;99159.45;03/10/2024
DI1Z24;02/12/2024;98380.5;03/10/2024
DI1F25;02/01/2025;97497.17;03/10/2024
DI1G25;03/02/2025;96559.59;03/10/2024
DI1H25;05/03/2025;95683.75;03/10/2024
DI1J25;01/04/2025;94845.11;03/10/2024
DI1K25;02/05/2025;93956.49;03/10/2024
DI1M25;02/06/2025;93032.34;03/10/2024
DI1N25;01/07/2025;92145.74;03/10/2024
DI1Q25;01/08/2025;91142.69;03/10/2024
DI1U25;01/09/2025;90244.41;03/10/2024
DI1V25;01/10/2025;89293.6;03/10/2024
DI1F26;02/01/2026;86606.41;03/10/2024
DI1J26;01/04/2026;84116.27;03/10/2024
DI1N26;01/07/2026;81746.23;03/10/2024
DI1V26;01/10/2026;79330.81;03/10/2024
DI1F27;04/01/2027;77152.85;03/10/2024
DI1J27;01/04/2027;75035.75;03/10/2024
DI1N27;01/07/2027;72863.25;03/10/2024
DI1V27;01/10/2027;70688.19;03/10/2024
DI1F28;03/01/2028;68640.39;03/10/2024
DI1J28;03/04/2028;66634.82;03/10/2024
DI1N28;03/07/2028;64724.03;03/10/2024
DI1V28;02/10/2028;62806.89;03/10/2024
DI1F29;02/01/2029;61114.44;03/10/2024
DI1J29;02/04/2029;59413.21;03/10/2024
DI1N29;02/07/2029;57689.37;03/10/2024
DI1V29;01/10/2029;55990.76;03/10/2024
DI1F30;02/01/2030;54394.32;03/10/2024
DI1F31;02/01/2031;48496.75;03/10/2024
DI1F32;02/01/2032;43238.5;03/10/2024
DI1F33;03/01/2033;38594.21;03/10/2024
DI1F34;02/01/2034;34511.17;03/10/2024
DI1F35;02/01/2035;30830.3;03/10/2024
DI1F36;02/01/2036;27557.12;03/10/2024
DI1F37;02/01/2037;24541.81;03/10/2024
DI1F38;04/01/2038;21896.52;03/10/2024
DI1F39;03/01/2039;19518.47;03/10/2024
DI1X24;01/11/2024;99199.46;04/10/2024
DI1Z24;02/12/2024;98419.3;04/10/2024
DI1F25;02/01/2025;97531.63;04/10/2024
DI1G25;03/02/2025;96589.3;04/10/2024
DI1H25;05/03/2025;95704.24;04/10/2024
DI1J25;01/04/2025;94858.5;04/10/2024
DI1K25;02/05/2025;93962.45;04/10/2024
DI1M25;02/06/2025;93028.11;04/10/2024
DI1N25;01/07/2025;92129.87;04/10/2024
DI1Q25;01/08/2025;91116.9;04/10/2024
DI1U25;01/09/2025;90214.48;04/10/2024
DI1V25;01/10/2025;89251.2;04/10/2024
DI1F26;02/01/2026;86540.27;04/10/2024
DI1J26;01/04/2026;84048.87;04/10/2024
DI1N26;01/07/2026;81660.19;04/10/2024
DI1V26;01/10/2026;79243.23;04/10/2024
DI1F27;04/01/2027;77043.34;04/10/2024
DI1J27;01/04/2027;74922.4;04/10/2024
DI1N27;01/07/2027;72756.23;04/10/2024
DI1V27;01/10/2027;70569.58;04/10/2024
DI1F28;03/01/2028;68530.58;04/10/2024
DI1J28;03/04/2028;66525.84;04/10/2024
DI1N28;03/07/2028;64625.88;04/10/2024
DI1V28;02/10/2028;62703.18;04/10/2024
DI1F29;02/01/2029;61005.72;04/10/2024
