Ticker;Maturity;AdjstdQt;Data_Referencia
DI1F21;04/01/2021;100000.0;04/01/2021
DI1G21;01/02/2021;99849.18;04/01/2021
DI1H21;01/03/2021;99713.34;04/01/2021
DI1J21;01/04/2021;99535.97;04/01/2021
DI1K21;03/05/2021;99373.02;04/01/2021
DI1M21;01/06/2021;99187.89;04/01/2021
DI1N21;01/07/2021;98993.11;04/01/2021
DI1Q21;02/08/2021;98772.34;04/01/2021
DI1U21;01/09/2021;98491.6;04/01/2021
DI1V21;01/10/2021;98210.46;04/01/2021
DI1X21;01/11/2021;97924.16;04/01/2021
DI1Z21;01/12/2021;97615.78;04/01/2021
DI1F22;03/01/2022;97244.53;04/01/2021
DI1J22;01/04/2022;96093.81;04/01/2021
DI1N22;01/07/2022;94873.13;04/01/2021
DI1V22;03/10/2022;93491.0;04/01/2021
DI1F23;02/01/2023;92157.55;04/01/2021
DI1J23;03/04/2023;90672.49;04/01/2021
DI1N23;03/07/2023;89217.47;04/01/2021
DI1V23;02/10/2023;87704.94;04/01/2021
DI1F24;02/01/2024;86295.86;04/01/2021
DI1J24;01/04/2024;84818.1;04/01/2021
DI1N24;01/07/2024;83336.53;04/01/2021
DI1V24;01/10/2024;81878.97;04/01/2021
DI1F25;02/01/2025;80316.76;04/01/2021
DI1J25;01/04/2025;78859.84;04/01/2021
DI1N25;01/07/2025;77555.69;04/01/2021
DI1V25;01/10/2025;75984.08;04/01/2021
DI1F26;02/01/2026;74549.49;04/01/2021
DI1N26;01/07/2026;71823.31;04/01/2021
DI1F27;04/01/2027;68988.69;04/01/2021
DI1F28;03/01/2028;63801.19;04/01/2021
DI1F29;02/01/2029;58849.91;04/01/2021
DI1F30;02/01/2030;54325.42;04/01/2021
DI1F31;02/01/2031;50065.0;04/01/2021
DI1F33;03/01/2033;42638.71;04/01/2021
DI1F35;02/01/2035;36357.46;04/01/2021
DI1G21;01/02/2021;99856.86;05/01/2021
DI1H21;01/03/2021;99718.28;05/01/2021
DI1J21;01/04/2021;99538.45;05/01/2021
DI1K21;03/05/2021;99374.86;05/01/2021
DI1M21;01/06/2021;99186.08;05/01/2021
DI1N21;01/07/2021;98991.87;05/01/2021
DI1Q21;02/08/2021;98764.74;05/01/2021
DI1U21;01/09/2021;98475.2;05/01/2021
DI1V21;01/10/2021;98187.89;05/01/2021
DI1X21;01/11/2021;97896.41;05/01/2021
DI1Z21;01/12/2021;97582.46;05/01/2021
DI1F22;03/01/2022;97203.78;05/01/2021
DI1J22;01/04/2022;96036.95;05/01/2021
DI1N22;01/07/2022;94771.02;05/01/2021
DI1V22;03/10/2022;93348.78;05/01/2021
DI1F23;02/01/2023;91970.61;05/01/2021
DI1J23;03/04/2023;90459.36;05/01/2021
DI1N23;03/07/2023;88980.58;05/01/2021
DI1V23;02/10/2023;87452.41;05/01/2021
DI1F24;02/01/2024;86032.25;05/01/2021
DI1J24;01/04/2024;84519.58;05/01/2021
DI1N24;01/07/2024;82998.27;05/01/2021
DI1V24;01/10/2024;81535.43;05/01/2021
DI1F25;02/01/2025;79971.77;05/01/2021
DI1J25;01/04/2025;78506.62;05/01/2021
DI1N25;01/07/2025;77197.71;05/01/2021
DI1V25;01/10/2025;75619.4;05/01/2021
DI1F26;02/01/2026;74182.33;05/01/2021
DI1N26;01/07/2026;71453.2;05/01/2021
DI1F27;04/01/2027;68619.1;05/01/2021
DI1F28;03/01/2028;63443.05;05/01/2021
DI1F29;02/01/2029;58515.71;05/01/2021
DI1F30;02/01/2030;54022.88;05/01/2021
DI1F31;02/01/2031;49800.45;05/01/2021
DI1F33;03/01/2033;42366.67;05/01/2021
DI1F35;02/01/2035;36086.03;05/01/2021
DI1G21;01/02/2021;99865.37;06/01/2021
DI1H21;01/03/2021;99727.01;06/01/2021
DI1J21;01/04/2021;99548.41;06/01/2021
DI1K21;03/05/2021;99380.82;06/01/2021
DI1M21;01/06/2021;99186.4;06/01/2021
DI1N21;01/07/2021;98981.47;06/01/2021
DI1Q21;02/08/2021;98750.24;06/01/2021
DI1U21;01/09/2021;98457.24;06/01/2021
DI1V21;01/10/2021;98165.68;06/01/2021
DI1X21;01/11/2021;97871.38;06/01/2021
DI1Z21;01/12/2021;97554.67;06/01/2021
DI1F22;03/01/2022;97172.82;06/01/2021
DI1J22;01/04/2022;95980.61;06/01/2021
DI1N22;01/07/2022;94683.24;06/01/2021
DI1V22;03/10/2022;93230.97;06/01/2021
DI1F23;02/01/2023;91776.35;06/01/2021
DI1J23;03/04/2023;90267.05;06/01/2021
DI1N23;03/07/2023;88745.42;06/01/2021
DI1V23;02/10/2023;87163.2;06/01/2021
DI1F24;02/01/2024;85685.81;06/01/2021
DI1J24;01/04/2024;84112.99;06/01/2021
DI1N24;01/07/2024;82527.25;06/01/2021
DI1V24;01/10/2024;81065.9;06/01/2021
DI1F25;02/01/2025;79509.77;06/01/2021
DI1J25;01/04/2025;78009.94;06/01/2021
DI1N25;01/07/2025;76664.84;06/01/2021
DI1V25;01/10/2025;75050.21;06/01/2021
